id,signature_id,att_order,att_name,att_default_value,att_purpose
352,68,10,None)),UNDEF,param
353,68,11,download_if_missing,True,param
354,68,12,return_X_y,False,param
355,69,0,data_home,None,param
356,69,1,shuffle,False,param
357,69,2,random_state,0,param
358,69,3,download_if_missing,True,param
359,70,0,name,None,param
360,70,1,version,’active’,param
361,70,2,data_id,None,param
362,70,3,data_home,None,param
363,70,4,target_column,’default-target’,param
364,70,5,cache,True,param
365,70,6,return_X_y,False,param
366,71,0,data_home,None,param
367,71,1,subset,’all’,param
368,71,2,download_if_missing,True,param
369,71,3,random_state,None,param
370,71,4,shuffle,False,param
371,71,5,return_X_y,False,param
372,72,0,data_home,None,param
373,72,1,download_if_missing,True,param
374,73,0,data_home,None,param
375,74,0,return_X_y,False,param
376,75,0,return_X_y,False,param
377,76,0,return_X_y,False,param
378,77,0,n_class,10,param
379,77,1,return_X_y,False,param
380,78,0,container_path,UNDEF,param
381,78,1,description,None,param
382,78,2,categories,None,param
383,78,3,load_content,True,param
384,78,4,shuffle,True,param
385,78,5,encoding,None,param
386,78,6,decode_error,’strict’,param
387,78,7,random_state,0,param
388,79,0,return_X_y,False,param
389,80,0,return_X_y,False,param
390,81,0,image_name,UNDEF,param
391,83,0,f,UNDEF,param
392,83,1,n_features,None,param
393,83,2,dtype,<class ‘numpy.float64’>,param
394,83,3,multilabel,False,param
395,83,4,zero_based,’auto’,param
396,83,5,query_id,False,param
397,83,6,offset,0,param
398,83,7,length,-1,param
399,84,0,files,UNDEF,param
400,84,1,n_features,None,param
401,84,2,dtype,<class ‘numpy.float64’>,param
402,84,3,multilabel,False,param
403,84,4,zero_based,’auto’,param
404,84,5,query_id,False,param
405,84,6,offset,0,param
406,84,7,length,-1,param
407,85,0,return_X_y,False,param
408,86,0,shape,UNDEF,param
409,86,1,n_clusters,UNDEF,param
410,86,2,noise,0,param
411,86,3,minval,10,param
412,86,4,maxval,100,param
413,86,5,shuffle,True,param
414,86,6,random_state,None,param
415,87,0,n_samples,100,param
416,87,1,n_features,2,param
417,87,2,centers,None,param
418,87,3,cluster_std,1,param
419,87,4,center_box,(-10.0,param
420,87,5,10.0),UNDEF,param
421,87,6,shuffle,True,param
422,87,7,random_state,None,param
423,88,0,shape,UNDEF,param
424,88,1,n_clusters,UNDEF,param
425,88,2,noise,0,param
426,88,3,minval,10,param
427,88,4,maxval,100,param
428,88,5,shuffle,True,param
429,88,6,random_state,None,param
430,89,0,n_samples,100,param
431,89,1,shuffle,True,param
432,89,2,noise,None,param
433,89,3,random_state,None,param
434,89,4,factor,0.8,param
435,90,0,n_samples,100,param
436,90,1,n_features,20,param
437,90,2,n_informative,2,param
438,90,3,n_redundant,2,param
439,90,4,n_repeated,0,param
440,90,5,n_classes,2,param
441,90,6,n_clusters_per_class,2,param
442,90,7,weights,None,param
443,90,8,flip_y,0.01,param
444,90,9,class_sep,1,param
445,90,10,hypercube,True,param
446,90,11,shift,0,param
447,90,12,scale,1,param
448,90,13,shuffle,True,param
449,90,14,random_state,None,param
450,91,0,n_samples,100,param
451,91,1,n_features,10,param
452,91,2,noise,0,param
453,91,3,random_state,None,param
454,92,0,n_samples,100,param
455,92,1,noise,0,param
456,92,2,random_state,None,param
457,93,0,n_samples,100,param
458,93,1,noise,0,param
459,93,2,random_state,None,param
460,94,0,mean,None,param
461,94,1,cov,1,param
462,94,2,n_samples,100,param
463,94,3,n_features,2,param
464,94,4,n_classes,3,param
465,94,5,shuffle,True,param
466,94,6,random_state,None,param
467,95,0,n_samples,12000,param
468,95,1,random_state,None,param
469,96,0,n_samples,100,param
470,96,1,n_features,100,param
471,96,2,effective_rank,10,param
472,96,3,tail_strength,0.5,param
473,96,4,random_state,None,param
474,97,0,n_samples,100,param
475,97,1,shuffle,True,param
476,97,2,noise,None,param
477,97,3,random_state,None,param
478,98,0,n_samples,100,param
479,98,1,n_features,20,param
480,98,2,n_classes,5,param
481,98,3,n_labels,2,param
482,98,4,length,50,param
483,98,5,allow_unlabeled,True,param
484,98,6,sparse,False,param
485,98,7,return_indicator,’dense’,param
486,98,8,return_distributions,False,param
487,98,9,random_state,None,param
488,99,0,n_samples,100,param
489,99,1,n_features,100,param
490,99,2,n_informative,10,param
491,99,3,n_targets,1,param
492,99,4,bias,0,param
493,99,5,effective_rank,None,param
494,99,6,tail_strength,0.5,param
495,99,7,noise,0,param
496,99,8,shuffle,True,param
497,99,9,coef,False,param
498,99,10,random_state,None,param
499,100,0,n_samples,100,param
500,100,1,noise,0,param
501,100,2,random_state,None,param
502,101,0,n_samples,UNDEF,param
503,101,1,n_components,UNDEF,param
504,101,2,n_features,UNDEF,param
505,101,3,n_nonzero_coefs,UNDEF,param
506,101,4,random_state,None,param
507,102,0,dim,1,param
508,102,1,alpha,0.95,param
509,102,2,norm_diag,False,param
510,102,3,smallest_coef,0.1,param
511,102,4,largest_coef,0.9,param
512,102,5,random_state,None,param
513,103,0,n_samples,100,param
514,103,1,n_features,10,param
515,103,2,random_state,None,param
516,104,0,n_dim,UNDEF,param
517,104,1,random_state,None,param
518,105,0,n_samples,100,param
519,105,1,noise,0,param
520,105,2,random_state,None,param
521,106,0,n_components,None,param
522,106,1,alpha,1,param
523,106,2,max_iter,1000,param
524,106,3,tol,1E-08,param
525,106,4,fit_algorithm,’lars’,param
526,106,5,transform_algorithm,’omp’,param
527,106,6,transform_n_nonzero_coefs,None,param
528,106,7,transform_alpha,None,param
529,106,8,n_jobs,None,param
530,106,9,code_init,None,param
531,106,10,dict_init,None,param
532,106,11,verbose,False,param
533,106,12,split_sign,False,param
534,106,13,random_state,None,param
535,106,14,positive_code,False,param
536,106,15,positive_dict,False,param
537,107,0,n_components,None,param
538,107,1,tol,0.01,param
539,107,2,copy,True,param
540,107,3,max_iter,1000,param
541,107,4,noise_variance_init,None,param
542,107,5,svd_method,’randomized’,param
543,107,6,iterated_power,3,param
544,107,7,random_state,0,param
545,108,0,n_components,None,param
546,108,1,algorithm,’parallel’,param
547,108,2,whiten,True,param
548,108,3,fun,’logcosh’,param
549,108,4,fun_args,None,param
550,108,5,max_iter,200,param
551,108,6,tol,0.0001,param
552,108,7,w_init,None,param
553,108,8,random_state,None,param
554,109,0,n_components,None,param
555,109,1,whiten,False,param
556,109,2,copy,True,param
557,109,3,batch_size,None,param
558,110,0,n_components,None,param
559,110,1,kernel,’linear’,param
560,110,2,gamma,None,param
561,110,3,degree,3,param
562,110,4,coef0,1,param
563,110,5,kernel_params,None,param
564,110,6,alpha,1,param
565,110,7,fit_inverse_transform,False,param
566,110,8,eigen_solver,’auto’,param
567,110,9,tol,0,param
568,110,10,max_iter,None,param
569,110,11,remove_zero_eig,False,param
570,110,12,random_state,None,param
571,110,13,copy_X,True,param
572,110,14,n_jobs,None,param
